7C380900-1B96-4615-978E-89E02E2C89D0,DebugDriverDxe
ECEBCB00-D9C8-11E4-AF3D-8CDCD426C973,HttpBootDxe
A6885402-D022-4B0E-A509-4711B90F2A39,ReportStatusCodeRouterSmm
4AA65902-3ED3-43B3-A52B-FC1D6C077AE4,AhciBusPei
9C7CCB02-9154-4864-9E4B-DC0487E37660,DhcpDummyDxe
93B80003-9FB3-11D4-9A3A-0090273FC14D,IsaSerialDxe
65986603-43BC-4ABF-94D8-5A58847381A6,SiliconPolicyDxe
93B80004-9FB3-11D4-9A3A-0090273FC14D,PciBusDxe
FEEA2404-752E-4E6E-823C-877D848CB12B,AsfSecureBootDxe
310B3904-0728-4977-A90C-06B8ECD85A9F,A01DxeInstallHook
29CBB005-C972-49F3-960F-292E2202CECD,FspNotifyPhasePeim
CA515306-00CE-4032-874E-11B755FF6866,DataHubStdErrDxe
943D4107-5D78-4233-A382-6260062C554C,DgrReleasePpam11
79CA4208-BBA1-4A9A-8456-E1E66A81484E,Legacy8259
D684FB08-8B0E-4CAF-8CFF-1EA386279809,HybridGraphicsSmm
6AD37609-A9F9-4587-9023-7820E10F5B7A,HiiLayoutPkgDxe
A431030A-9A54-45B5-AD87-C9161543F527,RtkUsbUndiDxe
42857F0A-13F2-4B21-8A23-53D3F714B840,CapsuleRuntimeDxe
1B45CC0A-156A-428A-AF62-49864DA0E6E6,PEI apriori file
B674D90A-9BDA-410D-A26C-14D6AFFEBD6E,CompalCMFCDxe
B674D90A-9BDA-410D-A26C-14D6AFFEBD6F,CompalEDIDDxe
E764500B-E398-4AB7-BBBC-99A8E683681F,MeSmbiosDxe
8D5EA70B-02EB-48D8-BEAB-459778C5DE1F,SmmConfidentialMem
6D4BAA0B-F431-4370-AF19-99D6209239F6,BiosGuardServices
0541150C-E33B-4DAF-A263-02E4BB4BF1CF,SecurityErrorHandlingDxe
202A2B0E-9A31-4812-B291-8747DF152439,Ps2MouseDxe
BDFE430E-8F2A-4DB0-9991-6F856594777E,EhciDxe
2366C20F-E15A-11E3-8BF1-E4115B28BC50,HttpDxe
356C2B12-3124-4451-BF66-B502D88A0074,XhciDxe
CB933912-DF8F-4305-B1F9-7B44FA11395C,AcpiPlatform
AA924214-DFCB-4BEE-AA33-FAE9729AF000,A01ODMSmmServiceDriver
52C05B14-0B98-496C-BC3B-04B50211D680,PeiCore
56BBC314-B442-4D5A-BA5C-D842DAFDBB24,PlatformInitAdvancedPreMem
3307DD15-23BA-4546-A004-FCBCC47D4A49,SiliconPolicyPeiPreMem
EA7F0916-B5C8-493F-A006-565CC2041044,FspS3Notify
A3527D16-E6CC-42F5-BADB-BF3DE177742B,UsbCbiDxe
94734718-0BBC-47FB-96A5-EE7A5AE6A2AD,Dhcp4Dxe
